movie_id,genres,avg_ratings,num_votes,region,category,artist_name,screen_time,movie_title,death_year,weighted_avg,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,release_month,foreign_gross,total_profit,roi
tt2398241,"Adventure,Animation,Comedy",6.0,15612,RS,director,Kelly Asbury,90.0,Smurfs: The Lost Village,,0.00041358967032865046,5,2017-04-07,Smurfs: The Lost Village,60.0,45.020282,197.578586,2017,4,152.558304,137.578586,2.2929764333333336
tt2884206,"Drama,Romance,Sci-Fi",7.4,104718,RS,producer,Hunter Gray,106.0,I Origins,,0.003421471676929281,70,2014-07-18,I Origins,1.0,0.336472,0.852399,2014,7,0.515927,-0.14760099999999998,-0.14760099999999998
tt3104988,"Comedy,Romance",7.0,96617,RS,actress,Michelle Yeoh,120.0,Crazy Rich Asians,,0.0029861490332970635,38,2018-08-15,Crazy Rich Asians,30.0,174.532921,238.099711,2018,8,63.566790000000026,208.099711,6.936657033333334
tt3139764,"Action,Horror,Thriller",4.3,278,US,actor,Rusty Joiner,93.0,Unsullied,,5.2780456476948146e-06,87,2016-04-22,Unsullied,1.5,0.510957,0.510957,2016,4,0.0,-0.989043,-0.659362
tt3622592,"Comedy,Drama,Mystery",6.3,87742,PE,producer,Wyck Godfrey,109.0,Paper Towns,,0.002440663854514173,68,2015-07-24,Paper Towns,12.0,32.000304,85.450484,2015,7,53.45018,73.450484,6.120873666666667
tt3682448,"Drama,History,Thriller",7.6,263004,DE,actor,Tom Hanks,142.0,Bridge of Spies,,0.008825429223021654,10,2015-10-16,Bridge of Spies,40.0,72.313754,162.498338,2015,10,90.18458399999999,122.49833799999999,3.06245845
tt4302938,"Action,Adventure,Animation",7.8,105578,PT,actor,Ralph Fiennes,101.0,Kubo and the Two Strings,,0.0036360339020077973,22,2016-08-19,Kubo and the Two Strings,55.0,48.023088,77.548122,2016,8,29.525034000000005,22.548122000000006,0.40996585454545464
tt4337690,Drama,4.8,3105,GR,actress,Kate Bosworth,121.0,90 Minutes in Heaven,,6.580558167412041e-05,38,2015-09-11,90 Minutes in Heaven,5.0,4.816142,4.816142,2015,9,0.0,-0.18385799999999985,-0.036771599999999974
tt4418698,"Documentary,Family",7.2,14,CA,producer,Carolyn Allain,91.0,Milk,,4.450619050423602e-07,63,2008-11-26,Milk,20.0,31.841299,57.293371,2008,11,25.452072,37.293371,1.86466855
tt4573516,"Action,Drama,Sci-Fi",5.9,7074,US,actress,Donzaleigh Abernathy,89.0,Sleight,,0.000184279471289593,72,2017-04-28,Sleight,0.25,3.93099,3.93445,2017,4,0.0034600000000000186,3.68445,14.7378
tt2561572,"Comedy,Crime",6.0,111187,PL,actor,Will Ferrell,100.0,Get Hard,,0.002945541549758625,97,2015-03-27,Get Hard,40.0,90.411453,106.511453,2015,3,16.10000000000001,66.511453,1.6627863250000001
tt2675102,Drama,4.0,36,TH,producer,Prachya Pinkaew,120.0,Brown Sugar,,6.35802721489086e-07,76,2002-10-11,Brown Sugar,8.0,27.362712,28.315272,2002,10,0.9525600000000018,20.315272,2.539409
tt3216348,"Horror,Thriller",5.3,10217,VN,actor,Aaron Eckhart,91.0,Incarnate,,0.00023908875658962609,39,2016-12-02,Incarnate,5.0,4.799774,9.371036,2016,12,4.571262,4.371036,0.8742072000000001
tt3263904,"Biography,Drama",7.5,202718,BR,director,Clint Eastwood,96.0,Sully,,0.006712950838272111,50,2016-09-09,Sully,60.0,125.070033,238.524556,2016,9,113.454523,178.524556,2.9754092666666665
tt3397884,"Action,Crime,Drama",7.6,328548,RS,actor,Josh Brolin,121.0,Sicario,,0.0110248403840448,100,2015-09-18,Sicario,30.0,46.889293,84.393749,2015,9,37.504456,54.393749,1.8131249666666667
tt3922818,"Adventure,Drama,Romance",6.4,41031,SI,actor,Gary Oldman,120.0,The Space Between Us,,0.0011594498429074974,84,2017-02-03,The Space Between Us,30.0,7.885294,16.481405,2017,2,8.596110999999999,-13.518595000000001,-0.4506198333333334
tt4082068,"Crime,Drama",7.2,12312,AR,director,Jacques Audiard,115.0,Dheepan,,0.0003914001553486814,12,2016-05-06,Dheepan,9.0,0.248795,7.704357,2016,5,7.455562,-1.295643,-0.14396033333333336
tt4105466,Drama,6.8,204,BG,producer,Christian Davi,106.0,War,,6.124899550344862e-06,46,2007-08-24,War,25.0,22.486409,40.686409,2007,8,18.2,15.686408999999998,0.6274563599999999
tt5027774,"Crime,Drama",8.2,344047,LT,actor,Woody Harrelson,115.0,"Three Billboards Outside Ebbing, Missouri",,0.012456370521842192,59,2017-11-10,"Three Billboards Outside Ebbing, Missouri",12.0,54.51374,160.191915,2017,11,105.678175,148.191915,12.349326249999999
tt3450650,"Action,Comedy,Crime",4.4,30828,ES,producer,Adam Sandler,94.0,Paul Blart: Mall Cop 2,,0.0005989049702186694,60,2015-04-17,Paul Blart: Mall Cop 2,38.0,71.091594,107.650646,2015,4,36.559051999999994,69.650646,1.832911736842105
tt3569356,"Comedy,Drama,Romance",4.5,5089,RU,actress,Cherami Leigh,93.0,Not Cool,,0.00010111250155181121,69,2014-09-19,Not Cool,0.8,0.035688,0.035688,2014,9,0.0,-0.7643120000000001,-0.9553900000000001
tt3576728,"Action,Adventure,Animation",8.0,16854,PT,actor,Thomas Ian Nicholas,105.0,Bilal: A New Breed of Hero,,0.0005953232815542809,100,2018-02-02,Bilal: A New Breed of Hero,30.0,0.490973,0.648599,2018,2,0.15762600000000004,-29.351401,-0.9783800333333333
tt3774114,"Biography,Drama,Thriller",7.3,119149,SK,director,Oliver Stone,134.0,Snowden,,0.0038403707415120324,79,2016-09-16,Snowden,50.0,21.587519,35.380918,2016,9,13.793399,-14.619081999999999,-0.29238164
tt5834262,"Action,Drama,Sci-Fi",6.1,30586,LT,actress,Jodie Foster,94.0,Hotel Artemis,,0.0008237822113940111,15,2018-06-08,Hotel Artemis,15.0,6.708137,12.758799,2018,6,6.050662,-2.241201,-0.1494134
tt2582846,"Drama,Romance",7.7,315135,AZ,actress,Laura Dern,126.0,The Fault in Our Stars,,0.010713891790977542,43,2014-06-06,The Fault in Our Stars,12.0,124.87235,307.166834,2014,6,182.294484,295.166834,24.597236166666665
tt2713180,"Action,Drama,War",7.6,381993,GR,actor,Brad Pitt,134.0,Fury,,0.012818254418905077,68,2014-10-17,Fury,80.0,85.817906,210.315681,2014,10,124.49777500000002,130.315681,1.6289460125000002
tt2872724,"Horror,Thriller",4.8,3691,RU,actor,Stephen Rea,92.0,Out of the Dark,,7.822492816720721e-05,56,1989-12-31,Out of the Dark,1.6,0.419428,0.419428,1989,12,0.0,-1.1805720000000002,-0.7378575
tt2910274,"Comedy,Drama,Romance",6.8,21536,IT,actress,Gaby Hoffmann,84.0,Obvious Child,,0.000646597238805034,41,2014-06-06,Obvious Child,1.0,3.122616,3.32407,2014,6,0.20145400000000002,2.32407,2.32407
tt2924392,"Action,Sci-Fi,Thriller",5.3,2152,RS,producer,Lorenzo di Bonaventura,93.0,Higher Power,,5.035910777927722e-05,67,2018-05-11,Higher Power,0.5,0.000528,0.000528,2018,5,0.0,-0.499472,-0.998944
tt3327426,Sci-Fi,5.8,11,US,actress,Marjorie Ocho Kouns,50.0,War of the Worlds,,2.8169592799308116e-07,36,2005-06-29,War of the Worlds,132.0,234.280354,606.836535,2005,6,372.55618100000004,474.836535,3.5972464772727273
tt3486626,"Adventure,Animation,Comedy",5.5,4820,DK,actor,Will Arnett,91.0,The Nut Job 2: Nutty by Nature,,0.00011704951490746993,81,2017-08-11,The Nut Job 2: Nutty by Nature,40.0,28.370522,57.438389,2017,8,29.067867,17.438389,0.435959725
tt3628584,"Comedy,Drama",5.9,13306,BR,actor,Ice Cube,111.0,Barbershop: The Next Cut,,0.0003466246317471479,22,2016-04-15,Barbershop: The Next Cut,20.0,54.030051,54.404202,2016,4,0.3741509999999977,34.404202,1.7202100999999999
tt4876464,Comedy,7.7,14,US,director,Dane Kissel,48.0,Rosemary's Baby,,4.75968981781413e-07,53,1968-06-12,Rosemary's Baby,3.2,33.395426,33.395426,1968,6,0.0,30.195426,9.436070625
tt5095030,"Action,Adventure,Comedy",7.1,244024,LT,actor,Walton Goggins,118.0,Ant-Man and the Wasp,,0.007649812329801627,41,2018-07-06,Ant-Man and the Wasp,130.0,216.64874,623.14466,2018,7,406.49592000000007,493.14466000000004,3.793420461538462
tt5222768,"Adventure,Animation",7.0,2048,GR,writer,Serge Frydman,85.0,White Fang,,6.329769316158012e-05,87,1991-01-18,White Fang,14.0,34.729091,34.729091,1991,1,0.0,20.729090999999997,1.480649357142857
